folder,Date,X,Y
Bresil_1_CAM1,26/11/2020,1098,352
Bresil_1_CAM1,27/11/2020,1098,341
Bresil_1_CAM1,01/12/2020,1098,353
Bresil_1_CAM1,03/12/2020,1098,355
Bresil_1_CAM2,26/11/2020,,
Bresil_1_CAM2,27/11/2020,,
Bresil_1_CAM2,01/12/2020,,
Bresil_1_CAM2,03/12/2020,,
Bresil_1_CAM3,26/11/2020,,
Bresil_1_CAM3,27/11/2020,,
Bresil_1_CAM3,01/12/2020,,
Bresil_1_CAM3,03/12/2020,,
Bresil_1_CAM4,26/11/2020,,
Bresil_1_CAM4,27/11/2020,,
Bresil_1_CAM4,01/12/2020,,
Bresil_1_CAM4,03/12/2020,,
Bresil_2_CAM1,26/11/2020,,
Bresil_2_CAM1,27/11/2020,,
Bresil_2_CAM1,01/12/2020,,
Bresil_2_CAM1,03/12/2020,,
Bresil_2_CAM2,26/11/2020,,
Bresil_2_CAM2,27/11/2020,,
Bresil_2_CAM2,01/12/2020,,
Bresil_2_CAM2,03/12/2020,,
Bresil_2_CAM3,26/11/2020,,
Bresil_2_CAM3,27/11/2020,,
Bresil_2_CAM3,01/12/2020,,
Bresil_2_CAM3,03/12/2020,,
Bresil_2_CAM4,26/11/2020,,
Bresil_2_CAM4,27/11/2020,,
Bresil_2_CAM4,01/12/2020,,
Bresil_2_CAM4,03/12/2020,,
